Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed
1995,4.0,2.0,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,2.0,,,20.0,,10.0,,,20.0,,10.0
1995,4.0,7.0,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,3.0,1.0,,,,1.0,1.0,,,,1.0
1995,5.0,15.0,Kelimutu,Lesser Sunda Is,Indonesia,-8.77,121.82,1639,Complex volcano,,1.0,,,,,1.0,,,,
1995,9.0,6.0,Parker,Mindanao-Philippines,Philippines,6.113,124.892,1824,Stratovolcano,,60.0,,,,300.0,60.0,,,,300.0
1996,1.0,2.0,Karymsky,Kamchatka,Russia,54.049,159.443,1513,Stratovolcano,2.0,,,,,,,,,,
1996,4.0,30.0,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,3.0,5.0,,,,,5.0,,,,
1996,8.0,10.0,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,2.0,3.0,,18.0,,,3.0,,18.0,,
1996,9.0,4.0,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,,,,,,
1996,9.0,27.0,Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394,Stratovolcano,,6.0,,,,,6.0,,,,
1996,9.0,30.0,Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719,Caldera,3.0,,,,,,,,,,
1996,12.0,3.0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,3.0,13.0,,29.0,,,13.0,,29.0,,
1997,1.0,14.0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2.0,6.0,,,,,6.0,,,,
1997,4.0,17.0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1.0,3.0,,,,,3.0,,,,
1997,6.0,25.0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3.0,22.0,1.0,,,,22.0,,,,
1997,7.0,12.0,Hakkodasan,Honshu-Japan,Japan,40.659,140.877,1585,Stratovolcano,,3.0,,,,,3.0,,,,
1997,8.0,1.0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3.0,2.0,,,,,2.0,,,,
1997,9.0,2.0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3.0,2.0,,,,,2.0,,,,
1997,9.0,15.0,Adatarayama,Honshu-Japan,Japan,37.647,140.281,1728,Stratovolcano,,4.0,,,,,4.0,,,,
1997,11.0,23.0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,,2.0,,,,,2.0,,,,
1997,12.0,26.0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,,,,,,,,,,,
1998,4.0,28.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,1.0,,,,,,,,,
1998,7.0,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,10.0,,,,,10.0,,,,
1998,10.0,30.0,San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745,Stratovolcano,,1620.0,,,,,1620.0,,,,
1999,1.0,20.0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3.0,,,,,,,,,,
1999,5.0,21.0,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2.0,,,,,,,,,,
1999,8.0,15.0,Sheveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,4.0,,,,,,,,,,
1999,10.0,5.0,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,3.0,2.0,,,,,2.0,,,,
1999,10.0,16.0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3.0,1.0,,4.0,,,1.0,,4.0,,
2000,6.0,27.0,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,2.0,,,,,,1.0,,,,
2000,7.0,27.0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3.0,2.0,,,,,2.0,,,,
2000,8.0,23.0,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3.0,2.0,,1.0,,,2.0,,1.0,,
2000,11.0,3.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,2.0,,,,,2.0,,,,
2000,11.0,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2.0,1.0,,,,,1.0,,,,
2001,5.0,14.0,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3.0,1.0,,,,,1.0,,,,
2001,7.0,26.0,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2.0,,,,,,,,,,
2001,8.0,5.0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2.0,2.0,,,,,2.0,,,,
2001,10.0,20.0,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2.0,1.0,,,,,1.0,,,,
2002,1.0,3.0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3.0,,,,,,,,,,
2002,1.0,17.0,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1.0,100.0,,400.0,,,100.0,,,,
2002,8.0,28.0,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3.0,,,32.0,,,,,32.0,,
2002,11.0,3.0,Reventador,Ecuador,Ecuador,-0.077,-77.656,3562,Stratovolcano,4.0,,,,,,,,,,
2002,12.0,30.0,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,,,,,,
2002,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3.0,3.0,,,,,3.0,,,,
2003,7.0,12.0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3.0,,,,,,,,,,
2004,1.0,29.0,Egon,Lesser Sunda Is,Indonesia,-8.676,122.455,1661,Stratovolcano,1.0,1.0,,,,,1.0,,,,
2004,6.0,8.0,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,2.0,2.0,,5.0,,,,,,,
2004,10.0,24.0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4.0,5.0,,,,,5.0,,,,
2005,1.0,27.0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4.0,1.0,,14.0,,,1.0,,14.0,,
2005,10.0,1.0,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2381,Stratovolcano,3.0,2.0,,,,,2.0,,,,
2005,11.0,24.0,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,,,,,,,,,,
2006,1.0,1.0,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,,,,,,
2006,3.0,17.0,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,,1.0,,,,,1.0,,,,
2006,5.0,20.0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,2.0,,,,,,,,,,
2006,6.0,7.0,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2.0,1.0,,,,,1.0,,,,
2006,6.0,14.0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1.0,2.0,,,,,2.0,,,,
2006,7.0,18.0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3.0,1.0,,,,,1.0,,,,
2006,8.0,17.0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3.0,5.0,,13.0,,,6.0,,,,
2006,11.0,30.0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1.0,1266.0,,,,,1266.0,,,,
2007,3.0,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4.0,4.0,,1.0,,,4.0,,1.0,,
2007,4.0,18.0,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,,,,,,,,,,
2007,5.0,19.0,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75,Stratovolcano,1.0,,,,,,,,,,
2007,7.0,7.0,Salak,Java,Indonesia,-6.716,106.733,2218,Stratovolcano,,6.0,,,,,6.0,,,,
2007,9.0,30.0,"Tair, Jebel at",Red Sea,Yemen,15.55,41.83,244,Stratovolcano,,7.0,,1.0,,,7.0,,,,
2008,5.0,2.0,Chaiten,Chile-S,Chile,-42.833,-72.646,1122,Caldera,,1.0,,,,,1.0,,,,
2008,8.0,8.0,Kasatochi,Aleutian Is,United States,52.177,-175.508,314,Stratovolcano,3.0,,,,,,,,,,
2008,8.0,22.0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3.0,2.0,,2.0,,2.0,2.0,,2.0,,2.0
2008,11.0,20.0,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,10.0,,,,,10.0,,,,
2009,3.0,23.0,Redoubt,Alaska-SW,United States,60.485,-152.742,3108,Stratovolcano,,,,,,,,,,,
2009,11.0,30.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,,,,,,
2010,1.0,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3.0,,,,,,,,,,
2010,3.0,31.0,Eyjafjallajokull,Iceland-S,Iceland,63.633,-19.633,1651,Stratovolcano,2.0,2.0,,,,,2.0,,,,
2010,5.0,27.0,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1.0,1.0,3.0,,,3.0,1.0,3.0,,,3.0
2010,5.0,29.0,Zealandia Bank,Mariana Is-C Pacific,United States,16.88,145.85,0,Stratovolcano,,,,,,,,,,,
2010,8.0,6.0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3.0,4.0,,5.0,,,4.0,,5.0,,
2010,8.0,30.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,2.0,,,,,2.0,,,,
2010,10.0,26.0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,367.0,,277.0,600.0,,367.0,,277.0,600.0,
2010,11.0,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3.0,,,,,,,,,,
2010,12.0,28.0,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,,,,,,,
2011,1.0,3.0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,1.0,,1.0,,,1.0,,1.0,,
2011,1.0,28.0,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,,,,,,,,,,,
2011,2.0,23.0,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2.0,1.0,,,,,1.0,,,,
2011,3.0,18.0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,,,,,,
2011,4.0,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,4.0,,,,,,,,,,
2011,6.0,4.0,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,4.0,,,,,,,,,,
2011,6.0,22.0,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4.0,31.0,,,,,31.0,,,,
2011,7.0,9.0,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,,,,,,,,,,,
2011,7.0,17.0,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,,1.0,,,,,1.0,,,,
2011,12.0,27.0,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3.0,4.0,,,,,4.0,,,,
2012,2.0,10.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,,,,,,
2012,3.0,2.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,1.0,,,,,
2012,12.0,12.0,Tolbachik,Kamchatka,Russia,55.832,160.326,3611,Shield volcano,,,,,,,,,,,
2013,2.0,12.0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,1.0,,1.0,,,1.0,,1.0,,
2013,2.0,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,,,,,,,,,,,
2013,5.0,7.0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,5.0,,8.0,,,5.0,,8.0,,
2013,8.0,10.0,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3.0,5.0,,,,,5.0,,,,
2013,9.0,1.0,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,,,,,,,,,,,
2013,9.0,4.0,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,,,,,,,,,,,
2013,9.0,15.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2.0,,,,,,,,,,
2013,12.0,13.0,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,1.0,,,,,1.0,,,,
2014,2.0,1.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,17.0,,3.0,,,17.0,,3.0,,
2014,2.0,13.0,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,7.0,,,,4098.0,7.0,,,,4098.0
2014,9.0,27.0,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,Complex volcano,3.0,55.0,,70.0,,,55.0,,70.0,,
2014,11.0,10.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,14.5,1.0,,,,14.5,1.0
2014,11.0,23.0,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,,,,,,230.0,,,,,230.0
2014,12.0,18.0,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,,1.0,,4.0,,,1.0,,4.0,,
2015,2.0,20.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,,,,,,
2015,4.0,22.0,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,,,,,,,,,,,
2015,5.0,2.0,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,,,,,,
2015,5.0,7.0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,,,,,,
2015,7.0,31.0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,2.0,,,2.0,,,,,2.0,,
2015,10.0,16.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,1.0,,,,,1.0,,,,
2015,10.0,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,1.0,,,,,1.0,,,,
2016,5.0,9.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,1.0,,4.0,,3.0,1.0,,4.0,,
2016,5.0,21.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,7.0,,3.0,100.0,,7.0,,3.0,100.0,
2016,6.0,9.0,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,,1.0,,,,,1.0,,,,
2016,9.0,27.0,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,,,44.0,,,,,44.0,,,
2016,10.0,8.0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,,,,,,,,,,,
2017,3.0,15.0,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,,10.0,,,,,10.0,,
